vmp_id,mg_adq_pu
42127711000001101,1.0
42139311000001107,0.5
42139411000001100,1.0
42128311000001104,0.5
42128111000001101,0.2
42132411000001106,1.0
42137211000001105,0.5
42137311000001102,1.0
42131511000001102,0.4
42131611000001103,1.0
42132611000001109,0.33333333333333331
42132711000001100,0.5
39734411000001104,0.16666666666666666
39734311000001106,0.33333333333333331
42138711000001102,0.66666666666666663
42138611000001106,1.3333333333333333
42126511000001109,0.33333333333333331
42126811000001107,0.16666666666666666
42127111000001102,0.5
36088911000001104,0.063
42131911000001109,0.5
42131811000001104,1.0
35915311000001101,0.1
42126611000001108,0.33333333333333331
42126911000001102,0.16666666666666666
39699311000001107,1.0
42128211000001107,0.04
42128411000001106,0.1
36135311000001107,0.02866
42127511000001106,0.5
42132311000001104,0.1
42138811000001105,1.0
42138911000001100,0.5
42132011000001102,0.33333333333333331
4978211000001102,0.1
8304411000001106,0.033333333333333333
8304311000001104,0.033333333333333333
8357311000001100,0.2
8357411000001107,0.04
8357111000001102,0.02
8358011000001102,0.001
8357511000001106,0.05
8358111000001101,0.12
8357611000001105,0.06
8357711000001101,0.1
8358211000001107,0.033333333333333333
8357911000001104,0.01
8624311000001104,0.08
8624511000001105,0.08
8659111000001104,0.02
8659411000001109,0.16
8659211000001105,0.02
8659511000001108,0.16
8659611000001107,0.04
8659911000001101,0.4
8659811000001106,0.04
8660011000001104,0.4
8660311000001101,0.2
42132511000001105,0.2
8799011000001104,0.1
8798911000001108,0.2
8792911000001105,0.05
42128011000001102,0.5
8792711000001108,0.2
8792811000001100,0.02
38894311000001101,0.04
12142011000001101,0.013333333333333334
12141911000001108,0.016666666666666666
12141811000001103,0.083333333333333329
12141711000001106,0.066666666666666666
12141611000001102,0.24
12141511000001101,0.16
12141411000001100,0.018
12141311000001107,0.08
12144111000001108,0.4
12422711000001102,0.25
12422811000001105,0.3
12422911000001100,0.029
12423011000001108,0.0002
12423111000001109,0.065
12423211000001103,0.08
12423311000001106,0.008
12423411000001104,0.014
12423611000001101,0.066666666666666666
12423511000001100,0.066666666666666666
12423811000001102,0.026666666666666668
12423711000001105,0.026666666666666668
12701411000001100,0.00083333333333333339
12701311000001107,0.00083333333333333339
12813411000001101,0.09
12813311000001108,0.09
12813611000001103,0.3
12813511000001102,0.3
12817811000001105,0.032
12817711000001102,0.032
12818011000001103,0.32
12817911000001100,0.32
12818111000001102,0.4
12818211000001108,0.1
13018111000001109,0.050133333333333335
13018211000001103,0.13333333333333333
13302311000001106,0.13999999999999999
13302211000001103,0.13999999999999999
13893211000001109,0.2
13893311000001101,0.05
14796811000001102,0.025
15857711000001109,0.5
16174011000001109,0.016666666666666666
16174111000001105,0.016666666666666666
19609611000001101,0.1
19677811000001102,0.04
20453611000001108,0.1
22374911000001101,0.3
24216511000001109,0.1
24509211000001105,0.04
24510911000001105,0.2
28772911000001103,0.1
32654611000001100,0.1
34697811000001107,0.4
37236111000001102,0.25
42131711000001107,0.2
37600511000001104,0.4
37600611000001100,1.0
40548711000001102,0.5
40548611000001106,1.0
41556811000001102,0.1
42234911000001109,0.04
42234811000001104,0.0286
42501311000001108,0.04
45165811000001107,0.5
45165711000001104,1.0
