code,id,name,type
5F1,5F1,Plymouth Teaching,CCG
5F5,5F5,Salford,CCG
5F7,5F7,Stockport,CCG
5FE,5FE,Portsmouth City Teaching,CCG
5FL,5FL,Bath and North East Somerset,CCG
5GC,5GC,Luton,CCG
5H1,5H1,Hammersmith and Fulham,CCG
5H8,5H8,Rotherham,CCG
5HG,5HG,"Ashton, Leigh and Wigan",CCG
5HP,5HP,Blackpool,CCG
5HX,5HX,Ealing,CCG
5HY,5HY,Hounslow,CCG
5J2,5J2,Warrington,CCG
5J4,5J4,Knowsley,CCG
5J5,5J5,Oldham,CCG
5J6,5J6,Calderdale,CCG
R1H,R1H,,CCG
NKB,NKB,,CCG
RFS,RFS,,CCG
AXM,AXM,,CCG
NMG,NMG,,CCG
RX6,RX6,,CCG
AP2,AP2,,CCG
AYN,AYN,,CCG
RXX,RXX,,CCG
R1L,R1L,,CCG
RYA,RYA,,CCG
DG3,DG3,,CCG
NV6,NV6,,CCG
NWC,NWC,,CCG
DEC,DEC,,CCG
AJ6,AJ6,,CCG
RM1,RM1,,CCG
AER,AER,,CCG
DAY,DAY,,CCG
NLF,NLF,,CCG
DLA,DLA,,CCG
RTX,RTX,,CCG
AAV,AAV,,CCG
NNF,NNF,,CCG
DNE,DNE,,CCG
DKH,DKH,,CCG
NMK,NMK,,CCG
RCU,RCU,,CCG
RYK,RYK,,CCG
NEQ,NEQ,,CCG
DNK,DNK,,CCG
DJT,DJT,,CCG
NWX,NWX,,CCG
RRU,RRU,,CCG
NFH,NFH,,CCG
ADN,ADN,,CCG
DQT,DQT,,CCG
DLD,DLD,,CCG
AXG,AXG,,CCG
NCR,NCR,,CCG
NMC,NMC,,CCG
NBF,NBF,,CCG
DL0,DL0,,CCG
RTK,RTK,,CCG
ADP,ADP,,CCG
DR3,DR3,,CCG
ACG,ACG,,CCG
RW4,RW4,,CCG
RX8,RX8,,CCG
DWA,DWA,,CCG
ATP,ATP,,CCG
NV3,NV3,,CCG
RK5,RK5,,CCG
NAX,NAX,,CCG
5JE,5JE,Barnsley,CCG
5JX,5JX,Bury,CCG
5K3,5K3,Swindon,CCG
5K6,5K6,Harrow,CCG
5K9,5K9,Croydon,CCG
5KF,5KF,Gateshead,CCG
5KL,5KL,Sunderland Teaching,CCG
5KM,5KM,Middlesbrough,CCG
5L3,5L3,Medway,CCG
5LC,5LC,Westminster,CCG
5LD,5LD,Lambeth,CCG
5LE,5LE,Southwark,CCG
5LG,5LG,Wandsworth,CCG
5LH,5LH,Tameside and Glossop,CCG
5M1,5M1,South Birmingham,CCG
5M3,5M3,Walsall Teaching,CCG
5M7,5M7,Sutton and Merton,CCG
5M8,5M8,North Somerset,CCG
5MX,5MX,Heart of Birmingham Teaching,CCG
5N1,5N1,Leeds,CCG
5N3,5N3,Wakefield District,CCG
5N4,5N4,Sheffield,CCG
5N6,5N6,Derbyshire County,CCG
5N8,5N8,Nottinghamshire County Teaching,CCG
5NA,5NA,Redbridge,CCG
5NC,5NC,Waltham Forest,CCG
5NE,5NE,Cumbria Teaching,CCG
5NG,5NG,Central Lancashire,CCG
5NJ,5NJ,Sefton,CCG
5NK,5NK,Wirral,CCG
5NL,5NL,Liverpool,CCG
5NN,5NN,Western Cheshire,CCG
5NV,5NV,North Yorkshire and York,CCG
5NX,5NX,Hull Teaching,CCG
5P1,5P1,South East Essex,CCG
5P2,5P2,Bedfordshire,CCG
5P5,5P5,Surrey,CCG
5P7,5P7,East Sussex Downs and Weald,CCG
5P9,5P9,West Kent,CCG
5PC,5PC,Leicester City,CCG
5PD,5PD,Northamptonshire Teaching,CCG
5PF,5PF,Sandwell,CCG
5PH,5PH,North Staffordshire,CCG
5PJ,5PJ,Stoke on Trent,CCG
5PL,5PL,Worcestershire,CCG
5PM,5PM,Warwickshire,CCG
5PP,5PP,Cambridgeshire,CCG
5PQ,5PQ,Norfolk,CCG
5PT,5PT,Suffolk,CCG
5PV,5PV,West Essex,CCG
5PX,5PX,Mid Essex,CCG
5QA,5QA,Eastern and Coastal Kent,CCG
5QC,5QC,Hampshire,CCG
5QE,5QE,Oxfordshire,CCG
5QG,5QG,Berkshire East,CCG
5QH,5QH,Gloucestershire,CCG
5QK,5QK,Wiltshire,CCG
5QL,5QL,Somerset,CCG
5QQ,5QQ,Devon,CCG
5QR,5QR,Redcar and Cleveland,CCG
5HQ,5HQ,Bolton Teaching,CCG
5QV,5QV,Hertfordshire,CCG
5QW,5QW,Solihull,CCG
5A3,5A3,South Gloucestershire,CCG
5E1,5E1,Stockton-on-Tees Teaching,CCG
5J9,5J9,Darlington,CCG
5K7,5K7,Camden,CCG
5MK,5MK,Telford and Wrekin,CCG
5NQ,5NQ,"Heywood, Middleton and Rochdale",CCG
5QN,5QN,Bournemouth and Poole Teaching,CCG
B2M3M,B2M3M,NHS COVENTRY AND WARWICKSHIRE,CCG
00Q,00Q,NHS BLACKBURN WITH DARWEN,CCG
5K5,5K5,Brent Teaching,CCG
5K8,5K8,Islington,CCG
5KG,5KG,South Tyneside,CCG
5L1,5L1,Southampton City,CCG
5LA,5LA,Kensington and Chelsea,CCG
5LF,5LF,Lewisham,CCG
5LQ,5LQ,Brighton and Hove City,CCG
5M2,5M2,Shropshire County,CCG
5M6,5M6,Richmond and Twickenham,CCG
02P,02P,NHS BARNSLEY,CCG
5MD,5MD,Coventry Teaching,CCG
5MV,5MV,Wolverhampton City,CCG
5N2,5N2,Kirklees,CCG
5N5,5N5,Doncaster,CCG
5N7,5N7,Derby City,CCG
5N9,5N9,Lincolnshire Teaching,CCG
5ND,5ND,County Durham,CCG
5NF,5NF,North Lancashire Teaching,CCG
5NH,5NH,East Lancashire Teaching,CCG
5NM,5NM,Halton and St Helens,CCG
5NP,5NP,Central and Eastern Cheshire,CCG
5NR,5NR,Trafford,CCG
5NW,5NW,East Riding of Yorkshire,CCG
5NY,5NY,Bradford and Airedale Teaching,CCG
5P6,5P6,West Sussex,CCG
5P8,5P8,Hastings and Rother,CCG
5PA,5PA,Leicestershire County and Rutland,CCG
5PE,5PE,Dudley,CCG
5PG,5PG,Birmingham East and North,CCG
5PK,5PK,South Staffordshire,CCG
5PN,5PN,Peterborough,CCG
5PR,5PR,Great Yarmouth and Waveney,CCG
5PW,5PW,North East Essex,CCG
5PY,5PY,South West Essex,CCG
5QD,5QD,Buckinghamshire,CCG
5QF,5QF,Berkshire West,CCG
5QJ,5QJ,Bristol,CCG
5QM,5QM,Dorset,CCG
5QP,5QP,Cornwall and Isles of Scilly,CCG
5QT,5QT,Isle of Wight National Health Service,CCG
5NT,5NT,Manchester Teaching,CCG
TAC,TAC,Northumberland,CCG
TAK,TAK,Bexley,CCG
TAL,TAL,Torbay,CCG
TAN,TAN,North East Lincolnshire,CCG
TAP,TAP,Blackburn with Darwen Teaching,CCG
01X,01X,NHS ST HELENS,CCG
13Q,13Q,NATIONAL COMMISSIONING HUB 1,CCG
11N,11N,NHS CORNWALL AND THE ISLES OF SCILLY,CCG
07K,07K,NHS WEST SUFFOLK,CCG
10R,10R,NHS PORTSMOUTH,CCG
03F,03F,NHS HULL,CCG
00T,00T,NHS BOLTON,CCG
112,112,,CCG
15N,15N,NHS DEVON,CCG
11J,11J,NHS DORSET,CCG
D9Y0V,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",CCG
42D,42D,NHS NORTH YORKSHIRE,CCG
01K,01K,NHS MORECAMBE BAY,CCG
02M,02M,NHS FYLDE AND WYRE,CCG
15L,15L,NATIONAL COMMISSIONING HUB 2,CCG
27T,27T,NORTH WEST COMMISSIONING HUB,CCG
32T,32T,NORTH WEST - H&J COMMISSIONING HUB,CCG
76A,76A,NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,CCG
85J,85J,NORTH EAST AND YORKSHIRE COMMISSIONING HUB,CCG
97T,97T,SOUTH EAST - H&J COMMISSIONING HUB,CCG
X2C4Y,X2C4Y,NHS KIRKLEES,CCG
71E,71E,NHS LINCOLNSHIRE,CCG
06L,06L,NHS IPSWICH AND EAST SUFFOLK,CCG
26A,26A,NHS NORFOLK AND WAVENEY,CCG
RWW,RWW,,CCG
R0B,R0B,,CCG
DXV,DXV,,CCG
01J,01J,NHS KNOWSLEY,CCG
84H,84H,NHS COUNTY DURHAM,CCG
16C,16C,NHS TEES VALLEY,CCG
99C,99C,NHS NORTH TYNESIDE,CCG
M2L0M,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",CCG
11X,11X,NHS SOMERSET,CCG
05D,05D,NHS EAST STAFFORDSHIRE,CCG
05Q,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,CCG
99A,99A,NHS LIVERPOOL,CCG
70F,70F,NHS WEST SUSSEX,CCG
RH8,RH8,,CCG
